Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",108.077000,-61.722000,0.000000,top
"C2","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",108.077000,-59.563000,0.000000,top
"C3","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",108.077000,-63.881000,0.000000,top
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",132.566500,-81.534000,0.000000,top
"C5","100u","CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder",124.867000,-83.312000,180.000000,top
"C6","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.352000,-80.391000,180.000000,top
"C7","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.479000,-53.721000,180.000000,top
"C8","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.366000,-90.953500,-90.000000,top
"C9","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.352000,-86.233000,180.000000,top
"C10","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",104.267000,-87.884000,-90.000000,top
"C11","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",102.108000,-87.884000,-90.000000,top
"C12","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",99.949000,-87.884000,-90.000000,top
"D1","LED1","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",141.478000,-77.724000,-90.000000,top
"D2","LED2","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",135.890000,-77.724000,-90.000000,top
"D3","5V","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",115.062000,-92.202000,90.000000,top
"D4","3V3","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",120.396000,-92.202000,90.000000,top
"D5","LED3","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",130.302000,-77.724000,-90.000000,top
"J1","Barrel_Jack_Switch","BarrelJack_Horizontal",104.100000,-68.960000,0.000000,top
"J2","POWER_IN","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",95.377000,-56.642000,-90.000000,top
"J3","LEVEL","PinHeader_1x06_P2.54mm_Vertical",156.845000,-67.691000,0.000000,top
"J4","RELAY","PinHeader_1x04_P2.54mm_Vertical",156.845000,-53.721000,0.000000,top
"J5","MCU_PWR","PinHeader_1x02_P2.54mm_Vertical",131.318000,-89.911000,0.000000,top
"J6","Conn_01x11","PinHeader_1x11_P2.54mm_Vertical",141.150000,-100.000000,-90.000000,top
"J7","Conn_01x11","PinHeader_1x11_P2.54mm_Vertical",141.150000,-52.000000,-90.000000,top
"J8","I2C","PinHeader_1x04_P2.54mm_Vertical",153.600000,-100.000000,-90.000000,top
"J9","I2C_OUT","PinHeader_1x04_P2.54mm_Vertical",156.845000,-86.233000,0.000000,top
"J10","RELAY_PWR","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",95.061000,-86.388000,-90.000000,top
"R1","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.733000,-62.976000,-90.000000,top
"R2","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.701000,-62.992000,-90.000000,top
"R3","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",145.669000,-62.992000,-90.000000,top
"R4","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.637000,-62.992000,-90.000000,top
"R5","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.606000,-67.691000,0.000000,top
"R6","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.622000,-70.231000,0.000000,top
"R7","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.606000,-72.771000,0.000000,top
"R8","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.622000,-75.311000,0.000000,top
"R9","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",112.776000,-59.563000,-90.000000,top
"R10","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",141.478000,-73.660000,90.000000,top
"R11","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",112.776000,-63.500000,90.000000,top
"R12","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",135.890000,-73.660000,90.000000,top
"R13","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",115.062000,-86.376000,-90.000000,top
"R14","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.364000,-86.360000,-90.000000,top
"R15","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.302000,-73.660000,90.000000,top
"U1","LM317_TO-252","TO-252-2",116.967000,-69.596000,0.000000,top
